RBP	RBP_name	fimo1_motif	fimo1_not_motif	fimo2_motif	fimo2_not_motif	odd1	odd2	odd	pvalue	pvalue_adj
M109_0.6	RBM4/4B/14	111	38803	265	38649	0.00286060356158	0.00685658102409	0.417205536043	1.02895448383e-15	5.76214510943e-14
M117_0.6	CELF6	3085	35829	2035	36879	0.0861034357643	0.0551804550015	1.56039735015	2.69641726778e-52	1.50999366995e-50
M120_0.6	CPEB2/3/4	4378	34536	2482	36432	0.126766272875	0.0681269213878	1.86073684664	2.34539156429e-128	1.313419276e-126
M122_0.6	MEX3B/C/D	1542	37372	1593	37321	0.0412608369903	0.0426837437368	0.966663965671	0.362009061145	1.0
M126_0.6	SRSF4/5/6	636	38278	1686	37228	0.0166152881551	0.0452884925325	0.366876599903	4.60633096651e-112	2.57954534125e-110
M136_0.6	SNRPA/B2	1509	37405	1199	37715	0.0403422002406	0.0317910645632	1.26897921774	1.44680781043e-09	8.1021237384e-08
M140_0.6	ENOX1/2	898	38016	1588	37326	0.0236216329966	0.0425440711568	0.555227376091	2.34546556795e-45	1.31346071805e-43
M141_0.6	ESRP1/2	643	38271	996	37918	0.0168012333098	0.0262672081861	0.639627675343	1.13554460529e-18	6.3590497896e-17
M144_0.6	PABPC1/1L/3/4	2540	36374	2188	36726	0.0698300984219	0.0595763219518	1.17211160633	1.36893676617e-07	7.66604589055e-06
M145_0.6	RBM5	904	38010	1943	36971	0.0237832149434	0.0525547050391	0.452542068798	2.39467832959e-89	1.34101986457e-87
M147_0.6	CNOT4	1419	37495	2133	36781	0.0378450460061	0.0579918979908	0.652591953658	1.08192959059e-34	6.05880570732e-33
M148_0.6	PABPN1/1L	2412	36502	2765	36149	0.0660785710372	0.0764889761819	0.863896659828	4.07859574523e-07	2.28401361733e-05
M151_0.6	HNRNPF/H1/H2	406	38508	882	38032	0.0105432637374	0.0231909970551	0.454627444967	1.52252374082e-41	8.52613294857e-40
M160_0.6	KHDRBS1/2/3	2908	36006	1976	36938	0.0807643170583	0.0534950457523	1.50975321027	2.55194023672e-43	1.42908653256e-41
M161_0.6	RBM6	1129	37785	1360	37554	0.0298795818446	0.0362145177611	0.825071923966	2.7484053352e-06	0.000153910698771
M162_0.6	PABPC5	2734	36180	2364	36550	0.0755666113875	0.0646785225718	1.16834164391	8.88254649923e-08	4.97422603957e-06
M175_0.6	RBM24/38	2379	36535	1797	37117	0.0651156425346	0.0484144731525	1.3449623283	2.11910671552e-20	1.18669976069e-18
M195_0.6	SF3B4	1948	36966	1707	37207	0.052697072986	0.0458784637299	1.14862331259	4.7472614964e-05	0.00265846643799
M209_0.6	RBM45	466	38448	1165	37749	0.0121202663337	0.030861744682	0.3927278402	1.83513457059e-70	1.02767535953e-68
M227_0.6	PTBP1/2/3	5071	33843	2624	36290	0.149838962267	0.0723064205015	2.07227741641	1.27966288386e-192	7.16611214962e-191
M231_0.6	EIF2S1	982	37932	1122	37792	0.0258884319308	0.0296888230313	0.871992530775	0.00211827391403	0.118623339186
M250_0.6	CSDA,YBX1/2	1592	37322	1798	37116	0.0426558062269	0.0484427201207	0.880541103402	0.000316809156074	0.0177413127401
M256_0.6	ACO1	1694	37220	1778	37136	0.0455131649651	0.0478780697975	0.950605677246	0.149543042911	1.0
M262_0.6	QKI	670	38244	479	38435	0.0175190879615	0.0124625991934	1.405733081	1.51836543892e-08	8.50284645798e-07
M290_0.6	EIF4B	1025	37889	1172	37742	0.0270527065903	0.031052938371	0.871180249259	0.00157341269685	0.0881111110234
M298_0.6	RBFOX1/2/3	1017	37897	1152	37762	0.0268358973006	0.0305068587469	0.879667668285	0.00351177244962	0.196659257179
M307_0.6	NONO, SFPQ	750	38164	1162	37752	0.0196520280893	0.0307798262344	0.638471053724	1.26073178817e-21	7.06009801373e-20
M330_0.6	HuR, ELAVL2/3/4	7438	31476	3405	35509	0.236307027577	0.0958911825171	2.46432488758	0.0	0.0
M350_0.6	ZFP36/36L1/36L2	5183	33731	2583	36331	0.153656873499	0.0710963089373	2.16124965974	7.98036176429e-216	4.469002588e-214
M352_0.6	SRSF2/8	1094	37820	2102	36812	0.0289264939186	0.0571009453439	0.506585201775	4.02249046516e-75	2.25259466049e-73
Urich	Urich	5768	33146	2525	36389	0.174017981054	0.069389101102	2.50785754953	6.32007786029e-318	3.53924360176e-316
m6A	m6A	955	37959	1195	37719	0.0251587238863	0.0316816458549	0.794110381814	1.67525242627e-07	9.38141358709e-06
miR430	miR430	452	38462	294	38620	0.0117518589777	0.00761263593993	1.54373059088	6.76148829734e-09	3.78643344651e-07
motif_id	motif_id	1	38913	1	38913	2.56983527356e-05	2.56983527356e-05	1.0	1.0	1.0
