	egg(transcript)	egg(UTR5)	egg(CDS)	egg(UTR3)	1cell(transcript)	1cell(UTR5)	1cell(CDS)	1cell(UTR3)	4cell(transcript)	4cell(UTR5)	4cell(CDS)	4cell(UTR3)	64cell(transcript)	64cell(UTR5)	64cell(CDS)	64cell(UTR3)	sphere(transcript)	sphere(UTR5)	sphere(CDS)	sphere(UTR3)	shield(transcript)	shield(UTR5)	shield(CDS)	shield(UTR3)
NM_200775	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.31338344226579523	0.4134259259259259	0.3020550161812298	0.2935729166666667
NM_200774	0.27791339155749634	0.46026	0.27670357751277685	0.2266	0.3298150036416606	0.6414285714285715	0.32461243611584323	0.26874000000000003	0.25930387143900663	0.4231111111111112	0.2574880749574106	0.2243733333333333	0.2303782004389173	0.4152093023255814	0.22928790459965925	0.18592666666666666	0.2838530909090909	0.5707058823529412	0.2807427597955707	0.21066666666666667	0.2895294573643411	NULL	0.29758596491228073	0.22830000000000006
NM_200779	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2639654008438819	NULL	0.26109453712790315	0.2630069735006974	NULL	NULL	NULL	NULL
NM_199219	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2705199084668192	NULL	0.2735845864661654	NULL	0.2852728297632469	NULL	0.29068483709273185	0.2732748312439729
NM_199218	0.2578082267926626	0.2965135135135136	0.2435619967793881	0.28851138716356106	0.314257658643326	NULL	0.2979061538461538	0.3426258064516129	0.2575217877094972	0.2308701298701299	0.25585934959349593	0.2660041407867495	0.21967293233082708	0.20875949367088606	0.20683384615384615	0.25601449275362315	0.2764742705570292	0.4227450980392156	0.2604753846153846	0.2886459627329193	0.2902922666666667	0.3829673913043479	0.2868323076923077	0.2819523809523809
NM_199749	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2835936343449297	NULL	0.2855041666666667	0.2825407577497129	0.2644896459585839	0.2416569343065693	0.2620715746421268	0.2694385763490241	0.32597873754152823	0.3287034482758621	0.3441104294478528	0.315345579793341	0.2969041095890411	NULL	0.3184928425357873	0.27445464982778417
NM_199748	0.3287707641196014	0.42080909090909097	0.29713703703703703	0.34133032490974724	0.35528890728476825	0.4931578947368421	0.3609611111111111	0.3213898916967509	0.2969950124688279	0.34780733944954123	0.3033037037037037	0.2808483754512636	0.2712698145025295	0.32051456310679605	0.2697315689981096	0.2635830324909747	0.2953976801988401	0.3654424778761063	0.29907222222222224	0.277528880866426	0.2772633484162896	0.2932272727272727	0.2871403887688985	0.2664729241877256
NM_199745	0.2976144680851064	0.26201449275362315	0.29870198065407644	0.2984818181818182	NULL	NULL	NULL	0.32703061224489793	NULL	NULL	NULL	0.25253153153153146	0.2390900473933649	0.2528688524590164	0.23952995867768595	0.2241150442477876	NULL	NULL	NULL	0.2386036036036036	0.2992119205298013	0.3419117647058824	0.2992264875239923	0.27324778761061946
NM_199744	NULL	NULL	NULL	0.3180016556291391	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.29897371714643306	0.2452145328719723	NULL	0.22558950969213226	0.2647034400948992	0.2981143576826196	NULL	0.2879157608695653	0.3055	0.3007865731462926	NULL	0.2875326086956522	0.3053985765124556
NM_199211	0.30894591416813644	NULL	0.31055916305916303	0.3101933962264151	0.36072556218448826	0.3743756906077348	0.3590711086226204	0.36300943396226415	0.2867156771799629	0.2925086705202312	0.28687182382834553	0.2806839622641509	0.2666025758969641	0.25076136363636364	0.26801511758118696	0.2678537735849057	0.3215849748053138	0.3623783783783783	0.3193874580067189	0.3045	0.3387869903802107	0.4169189189189189	0.3371954087346025	0.2840141509433963
NM_199746	0.3202804166666667	0.28173929961089506	0.3773406593406593	0.3027224435590969	0.38717375	0.3713774319066148	0.44268445839874415	0.3663897742363878	0.3023206680584551	0.27478571428571424	0.35470486656200945	0.2847709163346613	0.2635396825396825	0.2431035856573705	0.28897959183673466	0.2561852589641434	0.3274995833333333	0.3225719844357977	0.3780565149136577	0.3069561752988048	0.3244720367278798	0.3323083003952569	0.3786624803767661	0.30023439575033195
NM_199741	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2617463617463617	0.29950000000000004	0.2612016574585635	0.23984027777777775	0.24825987525987525	0.32819148936170217	0.23803729281767955	0.2474791666666667	0.29531600831600835	0.3610212765957447	0.2924060773480663	0.2670555555555556	0.28298331595411885	0.34523076923076923	0.28444475138121544	0.2362986111111111
NM_199740	0.30813490364025703	0.3426808510638297	0.3012774369461486	0.33196610169491525	0.352239936440678	0.4777931034482759	0.3479972899728997	0.3493587570621468	0.2855164319248826	0.27492753623188404	0.2881961178045515	0.27627118644067794	0.2698789775691184	0.2906086956521739	0.27096184738955825	0.2612683615819209	0.323358372456964	0.4397246376811593	0.3218406961178045	0.3070819209039548	0.3168450704225352	0.5385652173913043	0.3110481927710844	0.29809322033898306
NM_199743	0.3075634477254589	0.352393063583815	0.28026132686084143	0.3312552415679125	0.3579896290386917	0.451080459770115	0.3368349514563107	0.3670592525068368	0.2919674532139951	0.35710650887573964	0.2956719798657718	0.2779070191431176	0.2505879458794588	0.2620062111801243	0.232121083827265	0.26879307201458524	0.2770825263157895	0.3072285714285714	0.281414762741652	0.2687411121239745	NULL	NULL	NULL	NULL
NM_199742	0.3275152561888313	0.39536	0.3195531686358753	0.3306949384404925	0.3392174411933448	0.4871481481481481	0.3262760472610097	0.3393077975376197	0.2981154508902929	0.3630886075949367	0.2865026852846401	0.3058837209302326	0.28137079953650057	0.376671875	0.2769602577873255	0.27864432284541724	0.3199016580903374	0.3914942528735633	0.3213200859291085	0.30957455540355683	0.296921749136939	0.4840921052631579	0.2984822771213749	0.2754746922024624
NM_001089550	NULL	NULL	NULL	0.2952175732217573	NULL	NULL	NULL	0.30405200000000004	NULL	NULL	NULL	0.2821519607843137	NULL	NULL	NULL	0.2614560669456067	NULL	NULL	NULL	0.26779310344827584	NULL	NULL	NULL	NULL
NM_001130643	0.2639839924670433	NULL	0.2639839924670433	NULL	0.31198075240594925	NULL	0.31227870289219983	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2801730103806228	NULL	0.28072465034965033	NULL	NULL	NULL	NULL	NULL
NM_001002315	0.2908261376896149	NULL	0.2732097560975609	0.3219522123893805	0.3455652370203161	0.3713840579710145	0.3327479853479854	0.3636306620209059	0.2762866389274156	0.2647605633802817	0.2663792840822544	0.3050530035335689	0.238497988377291	0.26088380281690143	0.22453333333333333	0.2601037414965986	0.30200400890868595	0.2998493150684932	0.2961179487179487	0.3167380952380952	NULL	NULL	NULL	NULL
NM_001002314	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.25581916621548456	NULL	0.25464546989307824	0.28561428571428565	NULL	NULL	NULL	NULL
NM_001002317	0.31145699831365936	0.4289230769230768	0.3005160550458716	0.2217727272727273	0.35768465430016866	0.4820989010989012	0.3351811926605505	0.3348030303030304	0.2913361629881155	0.3111034482758621	0.3111605504587156	0.1343181818181818	0.2577283531409168	0.2888850574712644	0.27005504587155965	0.13522727272727275	0.2642363945578231	0.2938488372093023	0.2819334862385321	0.10874242424242424	0.3124227504244482	0.3683678160919541	0.3313256880733945	0.11380303030303032
NM_001002316	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2594636762554851	0.2799787234042553	0.25751414427157	0.25918951612903224	0.2411421639980592	0.2599230769230769	0.23556589147286824	0.2516172344689379	0.30874163839069313	0.33133333333333337	0.3040599013389711	0.3155219999999999	0.2823491124260355	0.3111269841269842	0.2805238095238096	0.2789594320486816
NM_001002312	NULL	NULL	NULL	0.2743318181818182	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.24119711538461536	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001002319	NULL	NULL	NULL	0.2696856223175965	0.3410672557682867	0.31454455445544555	0.3743014416775885	0.32173316283034953	0.2743141907925961	0.2526363636363636	0.3072860759493671	0.2547476793248945	0.2441687528975429	0.25941044776119404	0.2651360381861575	0.2276177215189873	0.302327352297593	0.3457602739726027	0.3387473794549267	0.2676556962025317	NULL	NULL	NULL	NULL
NM_001002318	NULL	NULL	NULL	NULL	0.3588737174427782	NULL	NULL	0.3642062868369352	0.2874265372168285	NULL	0.2720705882352941	0.2943354603463993	0.2781097954790097	0.26416393442622954	0.27415723270440256	0.2819418181818181	0.3242181048173637	0.3131307692307692	0.33711635220125785	0.3181967943009795	NULL	NULL	NULL	NULL
NM_201578	0.2961531100478469	NULL	0.2978340643274854	0.2186	0.3651554508748318	0.4174761904761905	0.3639239766081872	0.3358545454545453	0.2910268997982515	0.30303125000000003	0.2963406432748538	0.1448909090909091	0.2607103494623656	0.3664769230769231	0.2606483918128655	0.13725454545454546	0.3165997340425532	0.3716913580246913	0.3175036549707602	0.2129818181818182	0.3262900864936793	0.334475	0.32986915204678363	0.22536363636363635
NM_201579	0.28952211906062264	NULL	0.2733204837490552	0.3250735586481113	0.3361795429815016	NULL	0.34515721844293273	0.3057905138339921	0.2887219485495348	NULL	0.28468480725623585	0.2952395209580838	0.2575811403508772	NULL	0.24579062736205595	0.28871656686626745	0.30523491027732463	NULL	0.31626530612244896	0.26521782178217823	0.29890726681127977	NULL	0.3156545729402872	0.24566338582677166
NM_201577	0.3181183889340927	NULL	0.29603081232492995	0.3475961923847696	0.3358355718355718	NULL	0.3106428571428572	0.3648717434869739	0.27776040404040403	0.3249387755102041	0.26778991596638657	0.28971042084168336	0.2485879275653924	0.3397118644067796	0.2391078431372549	0.25676553106212424	0.2972950160771705	0.478741935483871	0.29147689075630256	0.2943476953907816	0.2943072853072853	NULL	0.2998760504201681	0.2794048096192385
NM_001080171	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2703423799582464
NM_001080170	NULL	NULL	NULL	NULL	0.32897081130774536	0.3461290322580646	0.3287227792026113	NULL	NULL	NULL	NULL	NULL	0.2343721068249258	NULL	0.23398796630565585	NULL	0.2870136674259681	0.3368767123287671	0.28617048876534634	NULL	NULL	NULL	NULL	NULL
NM_001080177	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2745651499482937	0.2727514792899408	0.2741874643874644	NULL	0.296966991112992	0.2997340425531915	0.2965462107208873	NULL
NM_001080176	0.29865121412803536	0.6716315789473685	0.28140081799591005	0.3256795580110497	0.3354289919058131	0.6120526315789473	0.31938548057259714	0.3642541436464089	0.2732207505518764	0.5638421052631578	0.2610368098159509	0.2908839779005525	0.2440809418690213	0.5480526315789472	0.2285705521472393	0.2700303867403315	0.30136497424576897	0.6946842105263157	0.2825040899795501	0.3316767955801105	NULL	NULL	NULL	NULL
NM_001080174	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.21878620019436346	NULL	0.208609375	0.2408307692307693	0.2694401114206129	0.3105952380952381	0.26315449438202243	0.28473006134969325	NULL	NULL	NULL	NULL
NM_001012386	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2952928509905254	0.3760487804878049	0.2893515789473685	0.27532758620689657	0.32036606373815674	0.3787439024390244	0.3217621052631579	0.30075478927203064
NM_001012384	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2750288065843622	NULL	NULL	NULL	0.2467423935091278	0.29317772511848345	0.2991215277777778	0.2917271689497717	0.29486382113821136	NULL	NULL	NULL	NULL
NM_001012383	NULL	NULL	NULL	0.3081654978962132	0.3182605304212168	NULL	NULL	0.3144933774834437	NULL	NULL	NULL	0.2605636363636364	0.2493183466279913	NULL	NULL	0.2579608391608392	0.27856612184249624	0.2558333333333333	0.2865505976095617	0.26618169014084503	NULL	NULL	NULL	NULL
NM_213393	0.31017760180995474	NULL	0.29475834445927906	0.320543842364532	0.3389873015873016	NULL	0.3152290076335878	0.36846740220661983	0.2632636490900607	NULL	0.2516580882352941	0.2761093596059113	0.2383742194469224	NULL	0.22402120441051734	0.253384236453202	0.2828405861456484	NULL	0.26989312977099233	0.29712709359605904	0.2842972122302158	NULL	0.2904571670907549	0.2771546798029556
NM_153659	0.2875870516185477	NULL	0.27311119812059514	0.3086901840490798	0.3627760895641744	0.3922795698924729	0.3602550805886475	0.36364627930682974	0.28614076710162123	0.3887816091954023	0.2856687675070028	0.27799901380670605	0.256008270972824	0.2637731958762887	0.24811134453781514	0.2663865877712032	0.300988578180386	0.3794742268041237	0.3173648459383753	0.2704181459566075	0.3075876329263489	0.4008453608247423	0.3201512605042017	0.28097337278106504
NM_001193381	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.24005161290322585	NULL	NULL	NULL	NULL	NULL
NM_001013536	0.3163603010348072	0.34812280701754383	0.3085452898550725	0.3060141342756184	0.3550903104421449	0.38890350877192975	0.3581268115942029	0.3219257950530036	0.3093066792097837	0.34589473684210525	0.2994202898550724	0.29911307420494704	0.2697149576669802	0.2812236842105263	0.2666684782608696	0.2663851590106007	0.32365380997177795	0.3683728070175439	0.32369202898550725	0.2875512367491166	0.32960214007782107	0.3926943005181348	0.3313333333333333	0.2831978798586573
NM_153653	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.25600885935769657	NULL	0.25110611735330834	0.2945098039215686	0.287605577689243	NULL	0.2850338248048569	0.3166764705882353	NULL	NULL	NULL	NULL
NM_153655	0.3102880434782609	0.4322571428571429	0.2995921409214093	0.3045357142857143	0.3434875406283857	0.5562602739726028	0.3208834688346884	0.3537500000000001	0.29913248847926266	0.3127222222222222	0.30407163742690063	0.2602321428571429	0.26529067245119303	0.3373333333333333	0.2589092140921409	0.2610267857142857	0.3156709539121114	0.4463132530120482	0.3018699186991869	0.3097946428571429	0.3151049783549784	0.4257162162162162	0.3071084010840109	0.29471428571428576
NM_001002037	0.3188160749506903	NULL	0.3206258811681772	NULL	0.33229564118761845	NULL	0.3339067688378033	NULL	0.2644683357879234	NULL	0.2651560926485398	NULL	0.26727361722956433	0.3854594594594595	0.2662381671701913	NULL	0.3119745969711773	0.4928780487804877	0.3095483383685801	NULL	0.3123663560568906	0.4585757575757575	0.3112371601208459	NULL
NM_001044768	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.24531655844155845	0.2640478893224548	NULL	NULL	0.27250166852057844	NULL	NULL	NULL	0.2836296928327645
NM_001044769	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2640065359477124	NULL	0.2676750348675035	0.25174254742547425	NULL	NULL	NULL	NULL
NM_001044767	0.31730828637027764	0.3352271062271062	0.3121018797864934	0.4012440191387559	0.3637338339591156	0.3891992753623189	0.36035228591320495	0.39982296650717697	0.2925320866978325	0.2937859778597786	0.2909477046852816	0.3229425837320574	0.2438720880982634	0.24468060836501895	0.2426018823529412	0.2686842105263158	0.2915669242012946	0.3114264705882353	0.2904087743732591	0.2895933014354067	NULL	NULL	NULL	NULL
NM_001044762	0.3113760827718961	NULL	0.3077291395045633	0.3192055715658021	0.3661881337648328	0.3573603603603603	0.3609816250358886	0.3845494716618636	0.2851225806451613	NULL	0.2893075348075348	0.2759942363112392	0.25439776847977685	NULL	0.2570379392971246	0.2480634005763689	0.3066802838099333	0.31553174603174605	0.3147511481056257	0.278597502401537	NULL	NULL	NULL	0.24990746268656716
NM_198803	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.27863026315789474	0.2981351351351352	0.27295696202531644	0.2988582375478927
NM_001079665	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.253448362720403	NULL	0.2532234957020057	NULL	NULL	NULL	NULL	NULL
NM_145118	0.2962844199330313	NULL	0.2898660334916271	0.31651111111111113	0.3584336574913466	0.3144464285714286	0.3591276125401929	0.3574772946859904	0.2873843619972261	0.3043653846153846	0.2855960264900662	0.2946193236714976	0.25438338070556765	NULL	0.25244365046957945	0.25665603864734304	0.3068073438245112	0.3607142857142857	0.308960030893995	0.29202512077294684	0.3043293537090099	0.33948529411764705	0.3039955589882217	0.30368985507246377
NM_001017609	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2700460526315789	NULL	0.1835	NULL	NULL	NULL	NULL	NULL	NULL
NM_001017608	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.25786666666666663	0.24058823529411766	0.2536342105263158	0.2926853146853147	0.2489344587884807	0.3179711538461539	0.23346184210526316	0.2809580419580419	0.3035501489572989	0.352875	0.28755000000000003	0.3527132867132867	0.3257864945382324	0.3355961538461539	0.3146078947368421	0.3780629370629371
NM_001017604	0.2991621621621621	NULL	0.2932296252230815	0.31945500000000004	0.352578204625637	0.2662967032967033	0.3436268817204301	0.3934133333333333	0.28011749571183536	0.18396629213483146	0.2727553256238588	0.31454000000000004	0.24750000000000005	0.19903260869565212	0.2474635076252723	0.2550433333333333	0.27297927972372965	NULL	0.26578801169590643	0.2948647260273973	NULL	NULL	NULL	NULL
NM_001017601	0.28009663865546225	0.39403773584905655	0.2658203309692672	NULL	0.3355981735159817	NULL	0.3292068965517241	NULL	0.22787341772151895	0.3627058823529412	0.21161702127659573	NULL	0.21780208333333334	0.2895438596491228	0.20813475177304966	NULL	0.2919395833333333	0.4540877192982456	0.27008983451536644	NULL	0.2947770833333333	0.4081754385964913	0.2794964539007092	NULL
NM_001017600	NULL	NULL	0.26271052631578945	0.30489878542510124	0.3398071654373024	0.4086031746031745	0.3032	0.3363117408906882	0.2419830316742081	0.24897235023041475	0.2416936936936937	0.2357578475336323	0.250882722513089	0.2983565891472868	0.2415822222222222	0.2182388663967611	0.3088974358974359	0.3367619047619048	0.29668	0.29723376623376624	0.3246763819095477	0.3904261744966443	0.30892000000000003	0.2740566801619433
NM_001017603	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.296019801980198	NULL	0.2933182957393484	0.2813356890459364
NM_001171029	NULL	NULL	NULL	0.24323529411764705	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2758758169934641	NULL	NULL	NULL	0.21536601307189546	0.2838117880138683	0.2018131868131868	0.2860614084507042	0.3064836601307189	NULL	NULL	NULL	NULL
NM_001098392	0.29101799345692475	0.4782727272727274	0.2681136166522116	0.28231976744186044	0.34544983642311883	0.500769696969697	0.32906504770164785	0.3323953488372093	0.2946128680479825	0.3506666666666667	0.2909791847354727	0.28480813953488376	0.25142148309705564	0.3825636363636364	0.2370381613183001	0.2416259689922481	0.3089203925845147	0.3992363636363636	0.29982046834345183	0.3003740310077519	0.2958174342105263	0.39293548387096777	0.2823989592367736	0.2966279069767442
NM_001113342	NULL	NULL	NULL	NULL	NULL	NULL	0.28418664226898444	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2578073100352677	0.2500344827586207	0.25327196359817994	NULL	NULL	NULL	NULL	NULL
NM_001080689	NULL	NULL	NULL	NULL	0.2760722070844687	NULL	0.2749386548410938	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.23021998883305414	NULL	0.23233190709046456	0.2079290322580645	NULL	NULL	NULL	NULL
NM_001080684	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.2808599221789883	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
NM_001080686	0.286051863041289	0.3499322033898305	0.2722035398230089	0.2890293685756241	0.3238270214943705	0.4331052631578947	0.3034991150442478	0.3262490479817212	0.25850942408376965	0.3211864406779661	0.2557781818181818	0.2568216756341276	0.2335451371571073	0.3059464285714286	0.2003858407079646	0.2441524566473989	0.2671646090534979	0.4390140845070423	0.2654300884955753	0.258585626911315	NULL	NULL	NULL	NULL
NM_001080683	NULL	NULL	NULL	0.25461933534743203	0.27880812445980985	NULL	0.2881003649635036	0.2689407665505227	0.2481988346686089	0.23800000000000002	0.25241225165562914	0.24543057503506316	0.23067663209273945	0.35578846153846144	0.2255454545454545	0.22763392857142856	0.25792302878598244	0.2723492063492064	0.2676844014510278	0.2452372881355932	0.2357862068965517	NULL	0.2577906976744186	0.21920348837209305
NM_212694	0.30221147356580425	NULL	0.2815389094759132	0.3256370725854829	0.3515385818561001	NULL	0.34271553711387737	0.3630185962807439	0.2863193681318681	NULL	NULL	0.2942393521295741	0.25197841289145634	NULL	0.243727496917386	0.26000659868026393	0.32177103412346963	NULL	0.3187209944751381	0.32574505098980205	NULL	NULL	NULL	NULL
NM_001076749	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.1386303630363036	NULL	0.14073154362416107	NULL	0.2077203947368421	NULL	0.2117946127946128	NULL	0.20627814569536426	NULL	0.2099864406779661	NULL
NM_001102621	NULL	NULL	NULL	0.2852380191693291	NULL	NULL	NULL	0.3281452420701169	NULL	NULL	NULL	0.2440386473429952	NULL	NULL	NULL	0.22020421393841166	0.2569634377967711	NULL	0.2642202702702703	0.2398067092651757	NULL	NULL	NULL	NULL
NM_212692	0.2787143493761141	0.36120779220779226	0.2724301022893327	0.3361666666666667	0.3305632798573975	0.41510389610389614	0.3240272771553824	0.3911666666666667	0.2600509009009009	0.2566103896103897	0.2595889600788565	0.27059649122807017	0.24163247863247864	0.2650133333333334	0.23935299901671586	0.2669210526315789	0.2862673796791444	0.3763116883116883	0.2842420847540185	0.2619210526315789	0.2940909496210432	0.3344868421052632	0.29316366293229423	0.28385964912280703
